str1,str2
\mid 1_{n},"[t, t+1]"
|A B|+,"[1,3]"
M N=\sqrt{7},c_{m}
b<0,>0
b>0),60 \sim 65
C_{1},\frac{16}{3}
60^{\circ},60 \sim 65
S_{n},\sqrt{3}
a<b,c<\frac{1}{4}
k_{0},\left\{a_{n}\right\}
q=(a-,c<\frac{1}{3}
a>b>0),\sqrt{3}+1
\sqrt{2},\sqrt{3}
A \cap B=,A C=4
"[-2,+\infty)","(-\infty, a)"
x=2,\ln |x-
0<x_{0}<1,y=\sin x
1+\ln 2,\ln |x-y|<0
S_{n},\left\{a_{n}\right\}
\sigma,\boldsymbol{e}_{1}
"[45,55)",\ln |x-y|<0
x-y+a=0,-\frac{\pi}{6}
A C \perp F G,"(-\infty, a)"
\tan \alpha=,\ln |x-y|<0
q>0,\sqrt{3}+1
f(x),g(x)
"C(4,2)",60 \sim 65
a<b<c,\ln |x-y|<0
h(x)>0,"(-\infty, a)"
5+2 \sqrt{7},80 \%
P-A B C,y)
-\frac{1}{2},\frac{1}{3}
f(x),(x)
a_{1}=1,c<\frac{1}{4}
A A_{1},A D_{1}
x,y)
\sqrt{3} \tan x),\ln |x-y|<0
y=f(x),y=f(x)
120^{\circ},60 \sim 65
n \perp m,A C=4
4 m,\left\{a_{n}\right\}
M=,A D_{1}
P C D,"(-\infty, a)"
c<a<b,\ln |x-y|<0
f(x),f(x)
x^{3},\boldsymbol{e}_{1}
0<k<\mathrm{e},\triangle B P Q
\triangle A B C,\triangle A B C
f(x),f(x)
a+2 b \geqslant 9,\sqrt{3}+1
"\{0,-1,-3\}","[0,+\infty)"
"M A, M B",\ln |x-y|<0
-\frac{\pi}{6},\boldsymbol{e}_{1}
\Gamma,\boldsymbol{F}_{1}
"A(-1,1)",A C=4
\left\{k_{n}\right\},\left\{a_{n}\right\}
\tan B,\triangle A B C
z=3 x+4 y,x+y+8=x y
a_{n},z=
\frac{\pi}{3},\frac{\pi}{3}
150^{\circ},"[60,70]"
\frac{\pi}{3},\frac{16}{3}
m \subset \alpha,\left\{a_{n}\right\}
2 c_{2},\frac{16}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
3 \%,\left\{a_{n}\right\}
C(O E,60 \sim 65
90^{\circ},60 \%
g(x),(x)
x=1,"[0,1]"
y=f(x),y=\sin x
\bar{y}=72.1,S_{5}
"(-\infty,-1)","(-\infty, a)"
z=3 x+5 y,\ln |x-y|<0
x=\frac{\pi}{2},-\frac{3}{2}
"F(1,0)",60 \sim 65
A C_{1},A D_{ }
\left\{a_{n}\right\},\left\{a_{n}\right\}
"2, B C=1",\left\{a_{n}\right\}
D(\xi),(x \in
m / / n,m / / n
B I)_{1},\sqrt{3}+1
l,A C=4
=120^{\circ},A C=4
p \wedge(\neg q),\triangle B C Q
f(0),"(0,1)"
"S=0, i=1",\sqrt{3}+1
\left\{b_{n}\right\},\left\{a_{n}\right\}
\frac{1}{10},(\rho \geqslant 0)
a^{2}=8,\left\{a_{n}\right\}
A C=x,-\frac{3}{2}
\frac{\pi}{3},\frac{16}{3}
"(3,3)","(0,1)"
a>b>c,c<\frac{1}{4}
z^{2}<0,z=
\triangle A B C,\triangle A B C
y,\frac{1}{3}
\frac{5}{4},\frac{\pi}{3}
f(x),f(x)
"B(4,0)","(-\infty, a)"
\triangle A B C,\triangle A B C
90 \%,"(0,1)"
\lambda \in \mathbf{R},60 \sim 65
1: 7,A D_{1}
A E C,A C=4
a=2,z=
\frac{b}{a},"[1,3]"
S_{n},\sqrt{3}+1
"A(1,",A D_{1}
\frac{2}{3},\frac{\pi}{3}
"(-\infty, 0)","(-\infty, a)"
a_{1010},\left\{a_{n}\right\}
\lambda,\sqrt{3}
3 x-y+2=0,60 \sim 65
f(x),f(x)
\frac{78}{25},\frac{16}{3}
x=-2,\left\{a_{n}\right\}
f(x),f(x)
"a, b, c",\left\{a_{n}\right\}
"[2,4]",\boldsymbol{e}_{1}
e=\frac{1}{2},c<\frac{1}{4}
\alpha \perp \beta,5(3+\sqrt{3})
g(x),f(x)
m_{n},\left\{a_{n}\right\}
\frac{24}{25},\frac{16}{3}
"A(0,0)",\triangle A B C
g^{\prime}(x)=,a_{n}\right\}
\lambda \in \mathbf{R},\sqrt{3}+1
a_{1}=1,"\{2,3,4\}"
a_{1}=1,a_{i}=
\frac{\pi}{3},\frac{16}{3}
f(x),f(x)
\frac{\pi}{3},\frac{\pi}{3}
"(-5,6)","(-\infty, a)"
C_{1},(\rho \geqslant 0)
\left\{x_{n}\right\},\left\{a_{n}\right\}
A \cap B,A C=4
\triangle A B C,\triangle A B C
"(-\infty, 2)","(-\infty, a)"
\omega,"(-\infty, a)"
M_{2},T_{n}
\leqslant 40,60 \sim 65
\cos 2 \theta,60 \sim 65
f(x),f(x)
\triangle A B C,\triangle A B C
16 \pi,\left\{a_{n}\right\}
25 \%,\triangle B P Q
\left\{a_{n}\right\},\left\{a_{n}\right\}
P C_{1},M \cup N=
f\left(x_{1}+\right.,y=\sin x
F_{1},F_{1}
|A B|,S_{5}
x=2,z=
f(a)=f(b),60 \sim 65
y=f(x),-\frac{\pi}{6}
2 x_{1}-1,\neg a_{2}
"[2,+\infty)",\left\{a_{n}\right\}
\frac{\pi}{3},\frac{\pi}{3}
-40 x^{2},\ln |x-y|<0
A D G E,\left\{a_{n}\right\}
\boldsymbol{\varphi},\triangle B C
\alpha \perp \beta,y=0
\triangle A B C,\triangle A B C
F_{1},\boldsymbol{F}_{1}
"(60,120)",60 \sim 65
b \in[0],"[60,70]"
"[12,13)","[1,3]"
"(a,+\infty)",\left\{a_{n}\right\}
P B=2 A N,60 \sim 65
f(x),f(x)
O E,\sqrt{3}+1
3^{x},\frac{16}{3}
0 \oplus 0=0,\triangle B P Q
"k=1, s=1",\sqrt{3}+1
\sin (\alpha+\pi),\ln |x-y|<0
-\frac{2}{3},-\frac{3}{2}
S_{5},S_{5}
"(400,600]",60 \sim 65
a^{2},-\frac{3}{2}
-5,z=
g(x),f(x)
"y \geqslant 0,","(-\infty, a)"
"(0,+\infty)","(-\infty, a)"
f(4)=8,"(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
"C(0,2)","(-\infty, a)"
P A=P B=2,\ln |x-y|<0
f(x),g(x)
45^{\circ},\sqrt{3}+1
a_{1}=2,\sqrt{3}
\frac{9}{8},\frac{16}{3}
f(x),f(x)
i<4 ?,c<\frac{1}{4}
"(2,3]",-\frac{3}{2}
\frac{1}{2},\frac{1}{3}
\triangle A B C,\triangle A B C
f(x),(x)
"A, B, C",\left\{a_{n}\right\}
f^{\prime}(x),f(x)
y=k x,\sqrt{3}+1
B,\boldsymbol{F}_{1}
A I,\boldsymbol{F}_{1}
n=k,\sqrt{3}
A 13,\triangle B C
-1,e=\frac{2}{3}
\alpha,\boldsymbol{F}_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
9+\sqrt{13},"[1,3]"
y=f(x),-\frac{\pi}{6}
\triangle A B C,\triangle A B C
x O y,60 \sim 65
2 \sqrt{2},\sqrt{3}+1
\sin 2 \Lambda+,\ln |x-y|<0
2 x-y-4=0,\left\{a_{n}\right\}
4 \sqrt{3} \pi,\ln |x-y|<0
B_{1},\boldsymbol{F}_{1}
"y \in[-1,1]","[t, t+1]"
k,\left\{a_{n}\right\}
A B C D,"(-\infty, a)"
f(x),f(x)
30=,"(0,1)"
\frac{1}{2} a,-\frac{\pi}{6}
x=1,c_{1}
a<c<b,\left\{a_{n}\right\}
"B(0, b)",\ln |x-y|<0
"(a, 0)","(-\infty, a)"
C_{1},\frac{16}{3}
a+b<0<a b,\ln |x-y|<0
l_{1},A D_{1}
f(x),f(x)
-20,60^{\circ}
"A C, B, C","(-\infty, a)"
"x>0, y>0",60 \sim 65
"A, B",\left\{a_{n}\right\}
"(2,3)","(0,1)"
x=6,S_{5}
\frac{\pi}{3},\frac{16}{3}
a_{1}=1,\sqrt{3}+1
P \Lambda,A D_{1}
I(t),"(0,1)"
m_{2}-,\left\{a_{n}\right\}
C C_{1},"(0,1)"
\frac{x}{y},\frac{16}{3}
P A=6,\triangle B C=
0<x<1,c<\frac{1}{4}
C=3,(\rho \geqslant 0)
q,-\frac{3}{2}
y=x^{4},y=\sin x
\pi \approx 3.14,\left\{a_{n}\right\}
y=|\cos 2 x|,\ln |x-y|<0
A C=3,A C=4
\varphi(x),"(-\infty, a)"
\frac{3}{16},\frac{16}{3}
\sqrt{10},c<\frac{1}{4}
f(x)=,"(0,1)"
S_{n},\frac{16}{3}
a_{t_{-}},\left\{a_{n}\right\}
f(x),(x)
S(a),"(0,1)"
b<a<c,y=\sin x
A B=B C,A x+1]
c=\frac{1}{4},c<\frac{1}{4}
A B M \perp,\ln |x-y|<0
S_{9}<0,"(-\infty, a)"
\frac{2}{3},\frac{16}{3}
\frac{1}{6},\boldsymbol{F}_{1}
x=1,\ln |x-y|<0
M N=3,\sqrt{3}+1
"[0,1]","[0,1]"
E(\xi),"(-\infty, a)"
"[0,+\infty)","(-\infty, a)"
\frac{1}{2},\frac{1}{3}
"[0,2 \pi]","[60,70]"
A B=2 b,\ln |x-y|<0
b_{4},\sqrt{3}+1
i \geqslant 2020,\triangle A B C
x=1,c<\frac{1}{3}
4 E \perp,\boldsymbol{e}_{1}
b(a-b),\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"[1,2]","[0,1]"
"(-\infty, 1]","(0,1)"
+\infty),"(0, a)"
A-B C E,\ln |x-y|<0
f(x),f(x)
5: 6: 7,60 \sim 65
b=-f(-1),A C=4
f(x)=\sqrt{x},A C=4
D_{1},\boldsymbol{F}_{1}
\sqrt{2 n-1},\sqrt{3}+1
"P, Q","(-\infty, a)"
f(a)>,A C=4
\frac{1}{2},\boldsymbol{F}_{1}
"[1,2]","[1,3]"
y=2 x-4,c<\frac{1}
l \subset,(x)
h(x),"(0,1)"
\triangle A B C,\triangle A B C
a,-\frac{3}{2}
\frac{\pi}{3},\frac{\pi}{3}
f(x)>,y=\sin x)
"(1,2)",(\rho \geqslant 0)
B,\frac{1}{3}
()_{1}(),"(0,1)"
\triangle O P Q,\triangle A B C
y=,T_{n}
\boldsymbol{e}_{1},S_{5}
"x \in(0,1)","(-\infty, a)"
T_{n},A_{1}
"(75,115]","[1,3]"
p \wedge(\neg q),\triangle A B C
1=,\sqrt{3}
f(1)=,(\rho \geqslant 0)
C_{1},S_{5}
\frac{\pi}{12},\frac{16}{3}
"a, b, c",\left\{a_{n}\right\}
C M,T_{n}
x=a,y=x
"a>b, c<d",\triangle B C
S_{6},\left\{a_{n}\right\}
P_{1},\boldsymbol{F}_{1}
M N=,z=
+\frac{1}{1}=,\neg p
\theta,(\rho \geqslant 0)
(-2 .),A C \perp B C
6 \sim 10,"(-\infty, a)"
x=\frac{\pi}{4},e=\frac{2}{3}
f(x),f(x)
a_{10}>10,\neg p
y=f(x),"(-\infty, a)"
z=2 x+y,\left\{a_{n}\right\}
S_{n},\left\{a_{n}\right\}
\frac{5}{13},\frac{1}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
a_{n} \neq 0,60 \sim 65
a,\left\{a_{n}\right\}
0.432,60 \sim 65
-\frac{8}{3},-\frac{\pi}{3}
\sqrt{2},\sqrt{3}
\frac{1}{64},\frac{1}{3}
"(-\infty,-1] \cup",\ln |x-y|<0
a_{m+1}=,c<\frac{1}{4}
x^{2} \in S,\left\{a_{n}\right\}
\left.b_{n}\right\},-\frac{3}{2}
X_{1},\boldsymbol{e}_{1}
"(-3,-5)","(-\infty, a)"
"(1,0)","(0,1)"
c<b<a,\sqrt{3}+1
\left\{a_{n}\right\},\left\{a_{n}\right\}
x() y,60^{\circ}
F_{2},\boldsymbol{F}_{1}
2-x^{2},y=\sin x
S=,\sqrt{3}+1
C C_{1},60 \sim 65
"\{-1,1\}","[1,3]"
"B(3,2)",60 \sim 65
y=,\sqrt{3}
\frac{2}{3},\frac{\pi}{3}
\frac{1}{2},\frac{16}{3}
m=0,\sqrt{3}+1
"M(0,1)",\triangle B C C
"(0,0)","(0,1)"
"P(x, y)",\left\{a_{n}\right\}
\frac{2}{3},\frac{\pi}{3}
"[0,+\infty)",\ln |x-y|<0
\tan B \tan C,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
9,"5(0,1)"
\frac{1}{8},\frac{1}{3}
a=,\triangle B P Q
P P_{1},T_{n}
\frac{1}{2},\frac{\pi}{3}
x=4,"[t, t+1]"
a=0,\triangle B C
\triangle A B C,\triangle A B C
"m=0, n>0",\ln |x-y|<0
x>0,\sqrt{3}
E(\xi),f(x)
y=,c<\frac{1}{4}
B M=E N,\ln |x-y|<0
y=f(x),y=\sin x
\left\{a_{n}\right\},\left\{a_{n}\right\}
a_{-} b,\boldsymbol{F}_{1}
x>1,x_{1}
y=4 x,\sqrt{3}
F_{2},\left\{a_{n}\right\}
2 .-1,"[0,1]"
\sqrt{7},\sqrt{3}+1
\text { 0) },"(0,1)"
g(x)=\mid x-,\ln |x-y|<0
S=3 \ln 3,\ln |x-y|<0
\frac{5 \pi}{6},\frac{16}{3}
a>b,\boldsymbol{F}_{1}
\frac{8}{7},\frac{1}{3}
B D,"[60, t+1]"
\triangle D B C,\triangle B P Q
\lambda x+\lambda y=1,x+y+8=x y
"B(1,1)","(-\infty, a)"
=1,F_{2}
3 n,\left\{a_{n}\right\}
"(-\infty,-2)",\ln |x-y|<0
x>1,x_{1}
\pi,"[0,1]"
\pm \frac{1}{2},c<\frac{1}{4}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"[30,40)",60 \sim 65
"(-\infty, 1)","(-\infty, a)"
a_{2 n},a_{n}\right\}
t=,z=
0.16,A C=0
V_{2},\frac{1}{3}
C C_{1},(x)
x_{0},\triangle B P Q
=\frac{\pi}{3},\frac{16}{3}
y=\ln (x+1),\ln |x-y|<0
\frac{3}{4},\frac{16}{3}
M F_{1},T_{n}
8 \pi,\boldsymbol{e}_{1}
y=x+1,\left\{a_{n}\right\}
\text { 0) },"(0,1)"
100 \mathrm{~m},\ln |x-y|<0
h=,\boldsymbol{F}_{1}
\frac{4}{9},\frac{16}{3}
f(x) \geqslant 0,60 \sim 65
N: N>100,\ln |x-y|<0
3 \pi,\left\{a_{n}\right\}
y=x,\neg p
a=2,\ln |x-y|<0
f(x)=[x],\left\{a_{n}\right\}
g(x),60 \sim 65
E(X)=0 X,60 \sim 65
"(-2,0)","(-\infty, a)"
b^{2},T_{n}
y=f(x),y=\sin x
"[-1,+\infty)","[60,70]"
a_{5}=-7,a_{i}=
"O P, P Q",60 \sim 65
3 \sqrt{2}-1,c<\frac{1}{4}
F_{1},\boldsymbol{F}_{1}
B F,\sqrt{3}
a_{30}=,a_{i}=
f(x),f(x)
\left\{a_{n}\right\},\left\{a_{n}\right\}
a_{1}=1,\neg p
k=,T_{n}
-4 \sqrt{3},c<\frac{1}{4}
x=1,\sqrt{3}+1
2^{n-1},\left\{a_{n}\right\}
b=4-a,y=\sin x
"[2,+\infty)",\ln |x-y|<0
\sqrt{2},\sqrt{3}
B=,F_{2}
\triangle A B C,\triangle B P Q
c=\pm 2,A C=4
i=5,\triangle B C
d S_{4}>0,"(-\infty, a)"
"[401,755]",\ln |x-y|<0
2 \overrightarrow{F B},\sqrt{3}+1
c^{2}=2,c<\frac{1}{4}
y=\sqrt{x},c<\frac{1}{4}
D D_{1},80 \%
n \perp \alpha,\left\{a_{n}\right\}
(n \geqslant 2),(x)
y=x \cdot \cos x,\ln |x-y|<0
D-M N Q,-\frac{3}{2}
\frac{5}{a},\frac{16}{3}
A_{1} C,A D_{1}
(\varphi>0),"(-\infty, a)"
a=2,T_{n}
f(x),f(x)
28,-\frac{3}{2}
f(x),f(x)
\triangle P M N,\triangle A B C
l: x=-1,a_{i}=
"(3,7)",(x)
D-M N Q,\sqrt{3}+1
B=,\boldsymbol{F}_{1}
"B C, C D","(-\infty, a)"
a \geqslant 0,\sqrt{3}
S_{n},\frac{1}{3}
"A B, A I",\left\{a_{n}\right\}
"B(-1,2)","(-\infty, a)"
y=x^{0},y=\sin x
\lambda=2,\ln |x-
A B C D,\ln |x-y|<0
a=4,c<\frac{1}
"(1,2]","(-\infty, a)"
\pm 2,S_{5}
a_{0}=2,\sqrt{3}+1
E G,\triangle B C C
t+2,\sqrt{3}+1
"[1,3)","[0,1]"
x=1,x_{1}
\frac{2}{3},\frac{16}{3}
\frac{\ln 2}{2},\frac{1}{3}
\triangle P M F,\triangle A B C
\frac{4}{5},\frac{16}{3}
"a, b \in G","(-\infty, a)"
S_{2},\frac{1}{3}
x_{2}=a,a_{n}\right\}
0<a<b<1,\triangle B P Q
A-B C D,\ln |x-y|<0
F_{2},F_{1}
D-A M-C,60 \sim 65
\sqrt{11},\boldsymbol{e}_{1}
-\frac{1}{2},-\frac{\pi}{6}
x_{n+1} ;,\left\{a_{n}\right\}
b=\sqrt{7},y=\sin x
2<a<4,c<\frac{1}{4}
\frac{16}{5},\frac{16}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
y=g(x),y=f(x)
|a-b|=,a_{i}=
f(x),(x)
"M(1,",\left\{a_{n}\right\}
|A B|=4,\ln |x-y|<0
l_{2},\sqrt{3}+1
a=2 \sqrt{7},A C=4
a_{1}=1,a_{i}=
D(X),60 \sim 65
"(-\infty, 0]","(-\infty, a)"
x<y,A D_{1}
"[70,80)",60 \sim 65
"(0,2)","(-\infty, a)"
x=1,c<\frac{1}
"M, N",T_{n}
\frac{5}{6},\frac{16}{3}
C_{1}:,\left\{a_{n}\right\}
B D=l,\ln |x-y|<0
A D,A D_{1}
"(\sqrt{5},+\infty)",\ln |x-y|<0
f(x),(x)
p_{2},T_{n}
P Q \perp M N,"[60,70]"
a . b,\sqrt{3}+1
A_{1},A D_{1}
\left\{b_{n}\right\},\left\{a_{n}\right\}
M N / / l,m / / n
\{1.2\},\left\{a_{n}\right\}
"x>0, y>0",-\frac{\pi}{6}
3 n,\left\{a_{n}\right\}
S_{n},\frac{16}{3}
2 \sqrt{3},\sqrt{3}
m<0,A C=4
\sqrt{2},\sqrt{3}
\sqrt{5},\sqrt{3}
f(x),f(x)
"x \in(0,2]",\ln |x-y|<0
\frac{1}{2},\frac{1}{3}
\frac{4}{5},\frac{\pi}{3}
\forall p,y=\sin x
"\{1,3\}",\left\{a_{n}\right\}
c \perp \alpha,(\rho \geqslant 0
\left\{a_{n}\right\},\left\{a_{n}\right\}
a_{1}=1,"[1,3]"
\frac{c}{a},\frac{16}{3}
"A(-3,0)","(-\infty, a)"
f(x),f(x)
f(x),f(x)
\lambda,A D_{1}
y_{1},\frac{1}{3}
"\{0,4\}","(-\infty, a)"
A B=3,\left\{a_{n}\right\}
\alpha / / \beta,m / / n
f(x)-,"(-\infty, a)"
A D=2,\triangle A B C
g(x),"(0,1)"
y=f(x),60 \sim 65
b_{1}=1,c<\frac{1}{4}
x=2,a_{i}=
(a>0),"(0,1)"
C_{1},\frac{16}{3}
a \neq 0,S_{5}
\triangle A B C,\triangle A B C
P(,\triangle B P Q
\frac{2}{3},\frac{\pi}{3}
|A B|,A D_{1}
y=\pm x,\left\{a_{n}\right\}
A C=\sqrt{3},\ln |x-y|<0
\alpha \perp \beta,\sqrt{3}+1
a>0,>0
"(0,2)","(0,1)"
\sin B,\left\{a_{n}\right\}
C D=,\triangle B C
\triangle A B C,\triangle A B C
i,\frac{16}{3}
F_{1},\left\{a_{n}
f(x),f(x)
j=,\sqrt{3}+1
a+b=2,x+y+8=x y
f(x),(x)
A B=2,\triangle A B C
y=-8 \sqrt{6},\ln |x-y|<0
|O Q|=1,\ln |x-y|<0
"(\lambda, \mu)","(0,1)"
a>1,c<\frac{1}{4}
10 \pi,"[60,70]"
B=,a_{i}=
\left\{a_{n}\right\},\left\{a_{n}\right\}
\left\{x_{n}\right\},\left\{a_{n}\right\}
"\min \{m, n\}",\ln |x-y|<0
\sqrt{2},\sqrt{3}
B D,\left\{a_{n}\right\}
a_{m}=0,\ln |x-y|<0
"(-2,1]",\sqrt{3}+1
"(2,2)","(-\infty, a)"
y=g(x),\ln |x-y|<0
"C\left(x_{3},\right.",\left\{a_{n}\right\}
e=2.71828,\ln |x-y|<0
"A, B",\sqrt{3}+1
f(x),f(x)
c=f(\sqrt{5}),60 \sim 65
a_{n}=,\left\{a_{n}\right\}
\lg x,\sqrt{3}
y=-\ln |x|,\ln |x-y|<0
f(x),f(x)
x^{2} \geqslant 1,\ln |x-y|<0
|r| \geqslant,A C=4
|O P|=1,"[60,70]"
f(x),f(x)
4\},\boldsymbol{e}_{1}
\triangle A B C,\triangle A B C
a_{1}=5,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
k_{2},T_{n}
a b=-1,e=\frac{2}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
|a b|=1,\ln |x-y|<0
-3,S_{5}
b_{n d},\left\{a_{n}\right\}
a=,\sqrt{3}+1
\neg p,F_{1}
"(a, b)","(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
\lambda>0,\triangle B C C
\frac{2}{3},\frac{\pi}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
x_{0},\sqrt{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
2 e_{2},\left\{a_{n}\right\}
y=g(x),(x)
"(0,2)","(-\infty, a)"
x O y,y)
B C=2,"5(-\infty, a)"
a=,z=
\triangle A B C,\triangle A B C
y=|f(x)|,(\rho \geqslant 0)
A_{3},\boldsymbol{e}_{1}
\text { 0) },"(0,1)"
S_{n},\frac{1}{3}
e_{2},S_{5}
x-y=0,y=f(x)
"[1,2]",A C=4
a=3,z=0
\Lambda \cap,A C=4
\neg p \wedge q,A C \perp B C
\left\{a_{n}\right\},\left\{a_{n}\right\}
P,\boldsymbol{F}_{1}
F_{2},T_{n}
S=,\sqrt{3}+1
A F_{2},A D_{1}
a_{5},5(3+\sqrt{3})
P(2),"(-\infty, a)"
\text { 3) },S_{5}
\Lambda C,A D_{1}
8 \sqrt{6} \pi,\ln |x-y|<0
485 \mathrm{~g},\ln |x-y|<0
\frac{1}{4},\frac{1}{3}
y=f(x),A C=4
f(x),f(x)
x^{6},T_{n}
f(x+1),\left\{a_{n}\right\}
I_{1},-\frac{3}{2}
y=2,a_{i}=
"(-1,1]",x_{1}
l_{2},\sqrt{3}
0<m<9,A C=4
\left\{b_{n}\right\},\left\{a_{n}\right\}
=\frac{3}{5},-\frac{3}{2}
g_{\min }(x),\ln |x-y|<0
B M,\sqrt{3}+1
m^{3},80 \%
-f(x)<0,60 \sim 65
S_{n},\left\{a_{n}\right\}
"P(1,2)",f(x)
m \perp \alpha,\left\{a_{n}\right\}
m,\left\{a_{n}\right\}
S_{n},\sqrt{3}+1
+2,\sqrt{3}
\triangle A B C,\triangle A B C
\sin 2 \theta=,60 \sim 65
P B C,60 \sim 65
x_{2},A C=4
2 \pi,S_{5}
\odot(),"(0,1)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
"[0,2]","[1,3]"
\left\{b_{n}\right\},\left\{a_{n}\right\}
"(3,+\infty)",\ln |x-y|<0
A(-2),T_{n}
\lambda(\lambda>0,"(-\infty, a)"
"(2, \sqrt{3})","(-\infty, a)"
|a|=2,\left\{a_{n}\right\}
m=9,\boldsymbol{F}_{1}
2 m+n=1,\left\{a_{n}\right\}
\sqrt{7},\sqrt{3}
"[55,65]",\ln |x-y|<0
"(x, y)","(0, a)"
A \cap B=,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
\frac{4}{5},T_{n}
|a+b|=,a_{i}=
k<-2,e=\frac{2}
f(x),f(x)
2 x-y-3=0,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
x+y,z=_{1}
f(x),f(x)
f(x-1),A C=4
\varphi=\frac{\pi}{6},\boldsymbol{e}_{1}
\left.a_{n}\right\},\left\{a_{n}\right\}
S \geqslant 2 ?,\left\{a_{n}\right\}
\overrightarrow{B E},S_{5}
c+d,\left\{a_{n}\right\}
"(\theta, 0)","(-\infty, a)"
"a, b, c",\left\{a_{n}\right\}
m+2],\left\{a_{n}\right\}
"(-1,0)",\ln |x-y|<0
k \neq,a_{i}=
a+b+c+d,60 \sim 65
\overrightarrow{O C},S B C
l: y=x,\left\{a_{n}\right\}
x=t,c<\frac{1}{4}
"A B, B C",\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
\alpha,\frac{16}{3}
a_{1}=3,e=\frac{2}{3}
l,A C=4
F_{2},T_{n}
d=,a_{i}=
x=-m,\sqrt{3}
|\boldsymbol{c}|,z=\frac{1}{3}
a>0,>0
A_{1},T_{n}
A D=1,"[60,70]"
x=-4,x_{1}
A A_{1}=4,A D_{1}
"(1, f(1))","(0, a)"
\tan (\alpha+\beta),60 \sim 65
b=2 \sqrt{3},\left\{a_{n}\right\}
z=2 x+y,\left\{a_{n}\right\}
x-y+2=0,\left\{a_{n}\right\}
k>0,(\rho \geqslant 0)
"[0,1]","(0,1)"
\frac{24}{5},\frac{16}{3}
\angle B=,\sqrt{3}+1
\left\{a_{n}\right\},\left\{a_{n}\right\}
y=A \sin \omega t,\ln |x-y|<0
E F \perp P B,\sqrt{3}+1
"[50,60)",60 \sim 65
\sqrt{5},\sqrt{3}
\frac{\pi}{4},\frac{16}{3}
f(x),f(x)
S_{n},\left\{a_{n}\right\}
"(c, 0)","(-\infty, a)"
a_{5}=,z=
f(x),f(x)
\triangle A B C,\triangle A B C
120^{\circ},"60,70]"
\frac{1}{9},\boldsymbol{e}_{1}
"(0,1)","(0,1)"
a_{3},\left\{a_{n}\right\}
A B / /,m / / n
a_{3}=4,a_{i}=
C_{2},\frac{16}{3}
C_{1},T_{n}
f(x),f(x)
l_{3},A_{1}
x+y,c<\frac{1}{4}
a_{n} \cdot 1,\left\{a_{n}\right\}
g(x),(x)
\alpha \perp \beta,60^{\circ}
a \in \mathbf{R},\boldsymbol{F}_{1}
x-y-1=0,x+y+8=x y
P(4),y=\sin x
\left\{a_{n}\right\},\left\{a_{n}\right\}
\triangle E C A,\triangle A B C
"[0,1]","[1,3]"
\overrightarrow{A C},A C=4
\left\{a_{n}\right.,\left\{a_{n}\right\}
\frac{3}{5},\frac{1}{3}
y=f(x),y+5=0
y=2^{\prime},z=x
t=,\left\{a_{n}\right\}
f(b)>g(b),\ln |x-y|<0
A l\} l \perp,\triangle A B C
-\pi,\boldsymbol{e}_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
90 \%,5(3+\sqrt{3})
90 \mathrm{~kg},\triangle B C
2 \sqrt{2},A C=4
a c>b d,\sqrt{3}+1
|P D|^{2},"(-\infty, a)"
f(x)=,f(x)
37(x+y+z),60 \sim 65
p=2,A C=4
(a+1) b=0,60 \sim 65
i=i+1,"[0,1]"
\tan C=,\ln |x-y|<0
6 b,5(3+\sqrt{3}
a^{2}=4,\left\{a_{n}\right\}
x+y+1=0,\ln |x-y|<0
\triangle A B C,\triangle A B C
A-B C D,\ln |x-y|<0
x>2,\left\{a_{n}\right\}
f(x),f(x)
x=1,"[0,1]"
l_{1},\boldsymbol{e}_{1}
f(. x)=,60 \sim 65
x_{2},\frac{16}{3}
f(x),f(x)
\frac{7}{9},\frac{\pi}{3}
f(x) \geqslant-1,A C=4
"x \in(1,3]",60 \sim 65
\left|P F_{1}\right|,\left\{a_{n}\right\}
A_{2},A D_{1}
45^{\circ},\sqrt{3}+1
"(0,1)","(0,1)"
"(-\infty, 1)","(-\infty, a)"
F_{1},\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
\tan \alpha=2,\ln |x-y|<0
\beta=150^{\circ},\ln |x-y|<0
\mathbf{R},F_{2}
b_{1}=2,c<\frac{1}{4}
